date,gw_shallow,gw_deep
1989-07-20,4.32895799,0
1989-07-21,4.32895799,0
1989-07-22,4.32895799,0
1989-07-23,4.32895799,0
1989-07-24,4.32895799,0
1989-07-25,4.32895799,0
1989-07-26,4.32895799,0
1989-07-27,4.32895799,0
1989-07-28,4.32895799,0
1989-07-29,4.32895799,0
1989-07-30,4.32895799,0
1989-07-31,4.32895799,0
1989-08-01,4.32895799,0
1989-08-02,4.32895799,0
1989-08-03,4.32895799,0
1989-08-04,4.32895799,0
1989-08-05,4.32895799,0
1989-08-06,4.32895799,0
1989-08-07,4.32895799,0
1989-08-08,4.32895799,0
1989-08-09,4.32895799,0
1989-08-10,4.32895799,0
1989-08-11,4.32895799,0
1989-08-12,4.32895799,0
1989-08-13,4.32895799,0
1989-08-14,4.32895799,0
1989-08-15,4.32895799,0
1989-08-16,4.32895799,0
1989-08-17,4.32895799,0
1989-08-18,4.32895799,0
1989-08-19,4.32895799,0
1989-08-20,4.32895799,0
1989-08-21,4.32895799,0
1989-08-22,4.32895799,0
1989-08-23,4.32895799,0
1989-08-24,4.32895799,0
1989-08-25,4.32895799,0
1989-08-26,4.32895799,0
1989-08-27,4.32895799,0
1989-08-28,4.32895799,0
1989-08-29,4.32895799,0
1989-08-30,4.32895799,0
1989-08-31,4.32895799,0
1989-09-01,4.32895799,0
1989-09-02,4.32895799,0
1989-09-03,4.32895799,0
1989-09-04,4.32895799,0
1989-09-05,4.32895799,0
1989-09-06,4.32895799,0
1989-09-07,4.32895799,0
1989-09-08,4.32895799,0
1989-09-09,4.32895799,0
1989-09-10,4.32895799,0
1989-09-11,4.32895799,0
1989-09-12,4.32895799,0
1989-09-13,4.32895799,0
1989-09-14,4.32895799,0
1989-09-15,4.32895799,0
1989-09-16,4.32895799,0
1989-09-17,4.32895799,0
1989-09-18,4.32895799,0
1989-09-19,4.32895799,0
1989-09-20,4.32895799,0
1989-09-21,4.32895799,0
1989-09-22,4.32895799,0
1989-09-23,4.32895799,0
1989-09-24,4.32895799,0
1989-09-25,4.32895799,0
1989-09-26,4.32895799,0
