"Time","GW036186",""
"and","110.00",""
"Date","Bore level below MP",""
"","Mean","Qual"
00:00:00 08/06/2006,       9.535,     10
00:00:00 09/06/2006,       9.532,     10
00:00:00 10/06/2006,       9.507,     10
00:00:00 11/06/2006,       9.514,     10
00:00:00 12/06/2006,       9.562,     10
00:00:00 13/06/2006,       9.578,     10
00:00:00 14/06/2006,       9.572,     10
00:00:00 15/06/2006,       9.557,     10
00:00:00 16/06/2006,       9.553,     10
00:00:00 17/06/2006,       9.556,     10
00:00:00 18/06/2006,       9.560,     10
00:00:00 19/06/2006,       9.560,     10
00:00:00 20/06/2006,       9.555,     10
00:00:00 21/06/2006,       9.548,     10
00:00:00 22/06/2006,       9.556,     10
00:00:00 23/06/2006,       9.579,     10
00:00:00 24/06/2006,       9.614,     10
00:00:00 25/06/2006,       9.646,     10
00:00:00 26/06/2006,       9.662,     10
00:00:00 27/06/2006,       9.676,     10
00:00:00 28/06/2006,       9.689,     10
00:00:00 29/06/2006,       9.692,     10
00:00:00 30/06/2006,       9.671,     10
00:00:00 01/07/2006,       9.674,     10
00:00:00 02/07/2006,       9.661,     10
00:00:00 03/07/2006,       9.660,     10
00:00:00 04/07/2006,       9.668,     10
00:00:00 05/07/2006,       9.652,     10
00:00:00 06/07/2006,       9.640,     10
00:00:00 07/07/2006,       9.634,     10
00:00:00 08/07/2006,       9.620,     10
00:00:00 09/07/2006,       9.617,     10
00:00:00 10/07/2006,       9.606,     10
00:00:00 11/07/2006,       9.588,     10
00:00:00 12/07/2006,       9.588,     10
00:00:00 13/07/2006,       9.593,     10
00:00:00 14/07/2006,       9.581,     10
00:00:00 15/07/2006,       9.541,     10
00:00:00 16/07/2006,       9.541,     10
00:00:00 17/07/2006,       9.536,     10
00:00:00 18/07/2006,       9.537,     10
00:00:00 19/07/2006,       9.562,     10
00:00:00 20/07/2006,       9.553,     10
00:00:00 21/07/2006,       9.553,     10
00:00:00 22/07/2006,       9.546,     10
00:00:00 23/07/2006,       9.522,     10
00:00:00 24/07/2006,       9.505,     10
00:00:00 25/07/2006,       9.519,     10
00:00:00 26/07/2006,       9.519,     10
00:00:00 27/07/2006,       9.499,     10
00:00:00 28/07/2006,       9.490,     10
00:00:00 29/07/2006,       9.493,     10
00:00:00 30/07/2006,       9.490,     10
00:00:00 31/07/2006,       9.478,    100
00:00:00 01/08/2006,       9.485,    100
00:00:00 02/08/2006,       9.475,    100
00:00:00 03/08/2006,       9.476,    100
00:00:00 04/08/2006,       9.480,    100
00:00:00 05/08/2006,       9.478,    100
00:00:00 06/08/2006,       9.484,    100
00:00:00 07/08/2006,       9.495,    100
00:00:00 08/08/2006,       9.494,    100
00:00:00 09/08/2006,       9.469,    100
00:00:00 10/08/2006,       9.462,    100
00:00:00 11/08/2006,       9.473,    100
00:00:00 12/08/2006,       9.476,    100
00:00:00 13/08/2006,       9.473,    100
00:00:00 14/08/2006,       9.469,    100
00:00:00 15/08/2006,       9.470,    100
00:00:00 16/08/2006,       9.492,    100
00:00:00 17/08/2006,       9.488,    100
00:00:00 18/08/2006,       9.493,    100
00:00:00 19/08/2006,       9.509,    100
00:00:00 20/08/2006,       9.506,    100
00:00:00 21/08/2006,       9.502,    100
00:00:00 22/08/2006,       9.502,    100
00:00:00 23/08/2006,       9.509,    100
00:00:00 24/08/2006,       9.511,    100
00:00:00 25/08/2006,       9.515,    100
00:00:00 26/08/2006,       9.539,    100
00:00:00 27/08/2006,       9.542,    100
00:00:00 28/08/2006,       9.552,    100
00:00:00 29/08/2006,       9.568,    100
00:00:00 30/08/2006,       9.568,    100
00:00:00 31/08/2006,       9.574,    100
00:00:00 01/09/2006,       9.583,    100
00:00:00 02/09/2006,       9.581,    100
00:00:00 03/09/2006,       9.571,    100
00:00:00 04/09/2006,       9.582,    100
00:00:00 05/09/2006,       9.599,    100
00:00:00 06/09/2006,       9.588,    100
00:00:00 07/09/2006,       9.591,    100
00:00:00 08/09/2006,       9.610,    100
00:00:00 09/09/2006,       9.618,    100
00:00:00 10/09/2006,       9.637,    100
00:00:00 11/09/2006,       9.666,    100
00:00:00 12/09/2006,       9.676,    100
00:00:00 13/09/2006,       9.681,    100
00:00:00 14/09/2006,       9.678,    100
00:00:00 15/09/2006,       9.681,    100
00:00:00 16/09/2006,       9.701,    100
00:00:00 17/09/2006,       9.715,    100
00:00:00 18/09/2006,       9.741,    100
00:00:00 19/09/2006,       9.758,    100
00:00:00 20/09/2006,       9.758,    100
00:00:00 21/09/2006,       9.773,    100
00:00:00 22/09/2006,       9.796,    100
00:00:00 23/09/2006,       9.802,    100
00:00:00 24/09/2006,       9.805,    100
00:00:00 25/09/2006,       9.829,    100
00:00:00 26/09/2006,       9.848,    100
00:00:00 27/09/2006,       9.841,    100
00:00:00 28/09/2006,       9.859,    100
00:00:00 29/09/2006,       9.851,    100
