Index,U.sw_419051,C.sw_419051,E.sw_419051,Q.sw_419051,Qq.sw_419051,Qs.sw_419051,Qd.sw_419051,G.gw_shallow,G.gw_deep,Uq.sw_419051,Us.sw_419051,Ud.sw_419051,R.gw_shallow,R.gw_deep,Gf.GwFlow,swE.sw_419051,S.gw_shallow,S.gw_deep,Glevel.gw_shallow.GW030130_1,Glevel.gw_shallow.GW030131_1,Glevel.gw_shallow.GW030132_2,Glevel.gw_shallow.GW036186_1,Glevel.gw_shallow.GW036187_1,Glevel.gw_deep.GW030129_1,Glevel.gw_deep.GW030130_2,Glevel.gw_deep.GW030133_1,Glevel.gw_deep.GW030134_1
2006-04-23,0,384573.141705916,1256.8372472317,13.0303456719,2.33018026510061E-008,0,13.0303456501,3799.5977816035,0,0,0,0,17.7550534657,0,0,0,-432.1505223931,-174917.772176177,-4.9699654566,-5.0658714745,-5.5645771963,-8.0039536487,-7.1663807458,0,0,0,0
2006-04-24,0,385955.023953353,1381.8822474375,13.0427373757,1.52293693805288E-008,0,13.0427373614,3803.2111561059,0,0,0,0,16.6561118638,0,0,0,-428.5813346612,-174930.814913539,-4.9696271388,-5.0654689924,-5.5639544433,-8.0019851015,-7.1650707584,0,0,0,0
2006-04-25,0,387281.159499964,1326.1355466112,13.0493517768,0.00000001,0,13.0493517675,3805.1398910267,0,0,0,0,14.9780866882,0,0,0,-426.696786511,-174943.864265306,-4.9694465526,-5.0652541569,-5.5636220323,-8.000934337,-7.1643715177,0,0,0,0
2006-04-26,0,388579.107915626,1297.948415662,13.049070416,6.50529089602194E-009,0,13.0490704099,3805.0578482588,0,0,0,0,12.967027642,0,0,0,-426.8230160494,-174956.913335716,-4.9694542342,-5.0652632954,-5.5636361721,-8.0009790335,-7.1644012614,0,0,0,0
2006-04-27,0,389880.059798896,1300.9518832697,13.0413797415,4.25166582461944E-009,0,13.0413797375,3802.8152783014,0,0,0,0,10.7988097801,0,0,0,-429.1097727774,-174969.954715454,-4.9696642046,-5.065513088,-5.5640226715,-8.0022007736,-7.1652142794,0,0,0,0
2006-04-28,0,391187.301140049,1307.2413411525,13.0261885251,2.77876309809465E-009,0,13.0261885225,3798.3855794658,0,0,0,0,8.5964896868,0,0,0,-433.5836583836,-174982.980903976,-4.9700789543,-5.0660064978,-5.5647861153,-8.0046140499,-7.1668202158,0,0,0,0
2006-04-29,0,392751.511117724,1564.2099776758,13.0036915953,1.81611741699473E-009,0,13.0036915936,3791.8255630788,0,0,0,0,6.4436752067,0,0,0,-440.1878615411,-174995.98459557,-4.9706931643,-5.0667371967,-5.5659167121,-8.0081879118,-7.1691984743,0,0,0,0
2006-04-30,1.63469238145808E-012,392886.613232138,1208.7349092178,12.9758757952,1.18752696267457E-009,0,12.9758757941,3783.7145848293,0,1.63469238145808E-012,0,14.3072051962,4.8648975445,0,0,0,-448.3430265612,-175008.960471364,-4.9714525898,-5.0676406522,-5.567314612,-8.0126067295,-7.1721390162,0,0,0,0
2006-05-01,0,394060.634758416,1214.3836614205,12.9412085132,7.76132517933226E-010,0,12.9412085125,3773.60574123,0,0,0,0.537864857,2.8323649133,0,0,0,-458.5736097881,-175021.901679876,-4.972399074,-5.0687666434,-5.5690568374,-8.0181139736,-7.1758038613,0,0,0,0
2006-05-02,0,395130.137079741,1069.5023213252,12.9012925637,5.072572702153E-010,0,12.9012925633,3761.9664066853,0,0,0,0,1.2619580185,0,0,0,-470.3346839606,-175034.80297244,-4.9734888572,-5.0700631111,-5.5710628377,-8.0244550209,-7.1800235682,0,0,0,0
