"Index","P.sw_419051","T.sw_419051","swInflow.None","gwExtraction.gw_shallow","gwExtraction.gw_deep","swExtraction.sw_419051","Gobs.gw_shallow.GW030130_1","Gobs.gw_shallow.GW030131_1","Gobs.gw_shallow.GW030132_2","Gobs.gw_shallow.GW036186_1","Gobs.gw_shallow.GW036187_1","Gobs.gw_deep.GW030129_1","Gobs.gw_deep.GW030130_2","Gobs.gw_deep.GW030133_1","Gobs.gw_deep.GW030134_1","Qobs.sw_419051"
1990-10-22,3.3,15.6405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,34.242
1990-10-23,0,18.8405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,33.866
1990-10-24,0,20.8005865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,33.391
1990-10-25,0,21.8405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,32.259
1990-10-26,0,24.6405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,31.543
1990-10-27,0,27.8805865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,30.838
1990-10-28,0,30.4405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,30.615
1990-10-29,0,31.0205865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,29.577
1990-10-30,0,32.4405865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,29.317
1990-10-31,0,33.1605865173761,,0.59711499659197,0,0.0456989247311829,,,,,,,,,,29.342
1990-11-01,0,33.7605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,28.568
1990-11-02,2.28,31.0405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,28.212
1990-11-03,0,30.9605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,27.86
1990-11-04,0.36,29.1205865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,27.503
1990-11-05,0,26.8205865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,27.145
1990-11-06,0,27.1605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,26.789
1990-11-07,0,28.6405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,26.434
1990-11-08,0,29.9005865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,26.044
1990-11-09,0,30.3805865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,25.622
1990-11-10,0,27.8405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,25.202
1990-11-11,0,22.5805865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,24.789
1990-11-12,0,27.3405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,24.554
1990-11-13,0,29.8405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,24.408
1990-11-14,0,31.4205865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,24.262
1990-11-15,0,32.7405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,24.117
1990-11-16,0.54,32.3605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,23.972
1990-11-17,0,30.5205865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,23.827
1990-11-18,0,26.9805865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,23.683
1990-11-19,0,24.8805865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,23.581
1990-11-20,0,27.2405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,23.499
1990-11-21,0,29.4805865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,23.414
1990-11-22,0,34.2605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,20.753
1990-11-23,0,27.5405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,19.69
1990-11-24,0,27.4405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,19.641
1990-11-25,0,29.4405865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,19.593
1990-11-26,0,31.8005865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,18.8
1990-11-27,0,32.9605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,17.275
1990-11-28,0,33.6605865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,17.578
1990-11-29,1.07,34.0005865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,17.437
1990-11-30,4.72,34.6205865173761,,0.551640483595164,0,0.0472222222222223,,,,,,,,,,17.296
1990-12-01,2.24,35.7805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.74
1990-12-02,0.81,32.7205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,18.768
1990-12-03,1.64,29.0805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,19.819
1990-12-04,13.86,29.9005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,19.688
1990-12-05,2.85,32.0405865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,18.69
1990-12-06,0,33.6205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.12
1990-12-07,0,33.5605865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.062
1990-12-08,0,34.4005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.243
1990-12-09,0,29.1605865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.428
1990-12-10,3.99,31.0805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.521
1990-12-11,0,24.9205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,16.74
1990-12-12,0,29.0805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.413
1990-12-13,0,30.5605865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,17.883
1990-12-14,0,32.5805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,16.679
1990-12-15,0,33.4405865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,16.432
1990-12-16,0,35.6805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,16.307
1990-12-17,0,36.4805865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,16.182
1990-12-18,0,37.9205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,16.057
1990-12-19,0,38.4005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.933
1990-12-20,0,38.4205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.808
1990-12-21,0,38.4005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.684
1990-12-22,0,38.3205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.56
1990-12-23,0,40.1205865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.437
1990-12-24,0,34.2005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.314
1990-12-25,0,35.7405865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.205
1990-12-26,0,36.1005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.159
1990-12-27,0.38,37.4605865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.122
1990-12-28,0,36.5005865173761,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.085
1990-12-29,0.48,35.6795762648129,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.047
1990-12-30,29.19,32.3595762648129,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,15.01
1990-12-31,14.24,31.9395762648129,,1.06101680918675,0,0.0456989247311829,,,,,,,,,,14.973
1991-01-01,0,33.1605865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.936
1991-01-02,1.38,32.9805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.898
1991-01-03,0,34.6805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.861
1991-01-04,0,31.7805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.824
1991-01-05,0.14,23.1605865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,17.039
1991-01-06,41.71,24.7805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,19.211
1991-01-07,0,29.2205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.716
1991-01-08,0,32.4205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,15.958
1991-01-09,0,31.4005865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.021
1991-01-10,0,31.8405865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.124
1991-01-11,0.29,33.0005865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.228
1991-01-12,0,34.1995762648129,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.332
1991-01-13,0,35.5405865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.435
1991-01-14,0,32.4405865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.54
1991-01-15,0,33.1205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.644
1991-01-16,0,33.4405865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.748
1991-01-17,18.85,21.6205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.853
1991-01-18,11.9,29.5205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.839
1991-01-19,0,32.7805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16.379
1991-01-20,0,34.6805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,15.88
1991-01-21,0,34.2205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,15.385
1991-01-22,0.01,35.1805865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.895
1991-01-23,0.56,30.3005865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.51
1991-01-24,23.49,26.1605865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.529
1991-01-25,6.31,30.1205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.59
1991-01-26,4.82,30.5605865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.827
1991-01-27,15.33,29.7405865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,16
1991-01-28,0,31.3405865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.61
1991-01-29,0,29.6005865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.386
1991-01-30,0,32.0605865173761,,0.9236114090472,0,0.0456989247311829,-4.84,-4.89,-5.33,-7.6,-6.67,,-10.25,-8.84,-8.84,14.187
1991-01-31,0,33.3205865173761,,0.9236114090472,0,0.0456989247311829,,,,,,,,,,14.006
1991-02-01,0,34.7605865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,13.889
1991-02-02,0,32.6605865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,13.779
1991-02-03,0,32.3005865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,13.669
1991-02-04,0,33.4405865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,13.559
1991-02-05,0,32.9005865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,13.45
1991-02-06,0.29,26.8605865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,14.21
1991-02-07,62.07,22.4805865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,39.617
1991-02-08,1.25,30.4805865173761,,0.350729706988644,0,0.0505952380952382,,,,,,,,,,25.462
